"__v",_id,app_submit,app_verified,username
0,5f4443caddd76a0017c2bea0,1590933600,1592317444,AMCASOFFICIAL_1272897736875147300
0,5f4443caddd76a0017c2be9e,1591020000,1592492273,AMCASOFFICIAL_1273631021603356700
0,5f4443caddd76a0017c2be9f,1591020000,1592400147,AMCASOFFICIAL_1273244619799658500
0,5f4443caddd76a0017c2be9d,1591106400,1592578386,AMCASOFFICIAL_1273992206446211000
0,5f4443caddd76a0017c2be9b,1591192800,1592922906,AMCASOFFICIAL_1275437230358589400
0,5f4443caddd76a0017c2be9c,1591192800,1592838304,AMCASOFFICIAL_1275082382136111000
0,5f4443caddd76a0017c2be9a,1591279200,1593011914,AMCASOFFICIAL_1275810555778011100
0,5f4443caddd76a0017c2be99,1591365600,1593098248,AMCASOFFICIAL_1276172667805208600
0,5f4443caddd76a0017c2be98,1591452000,1593179453,AMCASOFFICIAL_1276513265082945500
0,5f4443caddd76a0017c2be97,1591538400,1593438550,AMCASOFFICIAL_1277599995680772000
0,5f4443caddd76a0017c2be95,1591624800,1593625502,AMCASOFFICIAL_1278384129709662200
0,5f4443caddd76a0017c2be96,1591624800,1593524125,AMCASOFFICIAL_1277958922654158800
0,5f4443caddd76a0017c2be94,1591711200,1593696541,AMCASOFFICIAL_1278682089295089700
0,5f47c559810d4200175ce035,1591884000,1594129112,AMCASOFFICIAL_1280496421909794800
0,5f4d4c792ae6e600172a92fb,1591970400,1594310491,AMCASOFFICIAL_1281257180478541800
0,5f4ea07100d1420017af176d,1591970400,1594388701,AMCASOFFICIAL_1281585219729055700
0,5f4fe4bc527f3a00177ad7a4,1592143200,1594649870,AMCASOFFICIAL_1282680639574159400
0,5f523ff78339f1001774f47d,1592229600,1594734512,AMCASOFFICIAL_1283035654511833000
0,5f5293e28339f1001774f4c7,1592229600,1594818318,AMCASOFFICIAL_1283387160985567200
0,5f579120146a4b0017d78f15,1592229600,1594913734,AMCASOFFICIAL_1283787368181436400
0,5f58e976146a4b0017d78fac,1592402400,1594996333,AMCASOFFICIAL_1284133813262659600
0,5f5a296743adc80017450d5f,1592402400,1595251485,AMCASOFFICIAL_1285203996739866600
0,5f5f7ab0f22a5e001705dbdf,1592402400,1595337293,AMCASOFFICIAL_1285563900734443500
0,5f5fc9aa93130e0017751682,1592488800,1595439013,AMCASOFFICIAL_1285990548017479700
0,5f60e6e893130e00177516ca,1592575200,1595514821,AMCASOFFICIAL_1286308510301552600
0,5f63723f605a5c0017c261b3,1592575200,1595599239,AMCASOFFICIAL_1286662581495779300
0,5f64e632d156650017f51e01,1592748000,1595862280,AMCASOFFICIAL_1287765856110481400
0,5f68bbc104556400175c7954,1592834400,1595945133,AMCASOFFICIAL_1288113369120047000
0,5f6a61f07701ae0017df1698,1592834400,1596038510,AMCASOFFICIAL_1288505021265514500
0,5f6a61f07701ae0017df1697,1592920800,1596117153,AMCASOFFICIAL_1288834871574528000
0,5f6cfd4521cb550017654f48,1593007200,1596205301,AMCASOFFICIAL_1289204591460982800
0,5f6decb36881ba001700eaac,1593093600,1596463129,AMCASOFFICIAL_1290286000778834000
0,5f6decb36881ba001700eaaa,1593180000,1596634078,AMCASOFFICIAL_1291003010378858500
0,5f6decb36881ba001700eaab,1593180000,1596556160,AMCASOFFICIAL_1290676200654995500
0,5f6decb36881ba001700eaa6,1593266400,1596724484,AMCASOFFICIAL_1291382203260309500
0,5f6decb36881ba001700eaa5,1593352800,1596803356,AMCASOFFICIAL_1291713016032047000
0,5f6decb36881ba001700eaa4,1593439200,1597063804,AMCASOFFICIAL_1292805415072407600
0,5f6decb36881ba001700eaa3,1593525600,1597157474,AMCASOFFICIAL_1293198293971992600
0,5f6decb36881ba001700eaa2,1593612000,1597243195,AMCASOFFICIAL_1293557835087962000
0,5f6decb36881ba001700eaa1,1593698400,1597327946,AMCASOFFICIAL_1293913306818699300
0,5f6decb36881ba001700eaa0,1593784800,1597409716,AMCASOFFICIAL_1294256276000645000
0,5f6decb36881ba001700eaa9,1594044000,1597671210,AMCASOFFICIAL_1295353057270734800
0,5f6decb36881ba001700eaa7,1594130400,1597759502,AMCASOFFICIAL_1295723381816533000
0,5f6decb36881ba001700eaa8,1594216800,1597849975,AMCASOFFICIAL_1296102856177651700
0,5f6decb36881ba001700ea9f,1594303200,1597930747,AMCASOFFICIAL_1296441638039036000
0,5f6decb36881ba001700ea9e,1594389600,1598019013,AMCASOFFICIAL_1296811852047974400
0,5f6decb36881ba001700ea9d,1594648800,1598279898,AMCASOFFICIAL_1297906081096753200
0,5f6decb36881ba001700ea9c,1594735200,1598448161,AMCASOFFICIAL_1298611826511487000
0,5f6decb36881ba001700ea9b,1594821600,1598535818,AMCASOFFICIAL_1298979488764588000
0,5f6decb36881ba001700ea9a,1594908000,1598623851,AMCASOFFICIAL_1299348725106647000
0,5f6decb36881ba001700ea99,1595253600,1598883529,AMCASOFFICIAL_1300437895128535000
0,5f6decb36881ba001700ea98,1595340000,1598965744,AMCASOFFICIAL_1300782728674189300
0,5f6decb36881ba001700ea97,1595426400,1599053373,AMCASOFFICIAL_1301150271289077800
0,5f6decb36881ba001700ea96,1595599200,1599138337,AMCASOFFICIAL_1301506634259329000
0,5f6decb36881ba001700ea95,1595772000,1599225997,AMCASOFFICIAL_1301874307652612000
0,5f6decb36881ba001700ea94,1595944800,1599573563,AMCASOFFICIAL_1303332106911834000
0,5f6decb36881ba001700ea93,1596117600,1599662431,AMCASOFFICIAL_1303704845455708200
0,5f6decb36881ba001700ea92,1596204000,1599744438,AMCASOFFICIAL_1304048806569431000
0,5f6decb36881ba001700ea91,1596636000,1600094339,AMCASOFFICIAL_1305516398844825600
0,5f6decb36881ba001700ea90,1596722400,1600176217,AMCASOFFICIAL_1305859818717053000
0,5f6decb36881ba001700ea8f,1596981600,1600261763,AMCASOFFICIAL_1306218624298950700
